loading...
preprocessing...
build training set...
Loss : 6.438993
Loss : 6.516206
Loss : 6.348979
Loss : 6.532278
Loss : 6.500665
Loss : 6.332516
Loss : 6.629603
Loss : 6.601856
Loss : 6.658116
Loss : 6.567188
Loss : 6.158461
Loss : 6.647097
Loss : 6.636675
Loss : 6.483290
Loss : 6.130200
Loss : 5.981082
Loss : 6.081122
Loss : 5.765534
Loss : 6.363275
Loss : 6.300800
Loss : 6.389149
Loss : 6.344101
Loss : 6.541580
Loss : 6.418026
Loss : 6.010584
Loss : 6.109204
Loss : 6.585514
Loss : 6.228868
Loss : 6.411742
Loss : 6.653905
Loss : 6.572943
Loss : 6.402318
Loss : 6.492377
Loss : 6.331570
Loss : 6.328221
Loss : 6.362052
Loss : 6.152815
Loss : 6.432031
Loss : 6.188710
Loss : 6.613775
Loss : 6.297614
Loss : 6.544864
Loss : 6.469848
Loss : 6.598921
Loss : 6.716043
Loss : 6.574087
Time Elapsed for Training 01:02:08
word2vec.py:18: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  embedding = torch.tensor(embedding)
word2vec.py:45: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x_vector = torch.tensor(x_vector)
Questions = 17827, Correct Questions = 1548, Hitting Rate = 8.6835
Time Elapsed for Validaiton 02:58:40
