loading...
preprocessing...
build training set...
Loss : 2.872862
Loss : 2.866925
Loss : 2.854041
Loss : 2.930127
Loss : 2.940492
Loss : 2.796542
Loss : 2.938358
Loss : 2.943093
Loss : 3.003699
Loss : 2.914464
Loss : 2.735540
Loss : 2.946227
Loss : 2.945533
Loss : 2.888726
Loss : 2.720312
Loss : 2.622213
Loss : 2.703575
Loss : 2.484038
Loss : 2.846565
Loss : 2.822520
Loss : 2.861834
Loss : 2.784173
Loss : 2.942581
Loss : 2.885846
Loss : 2.692739
Loss : 2.705539
Loss : 2.899917
Loss : 2.814059
Loss : 2.876075
Loss : 2.977966
Loss : 2.916309
Loss : 2.832585
Loss : 2.938322
Loss : 2.848282
Loss : 2.828062
Loss : 2.836362
Loss : 2.795264
Loss : 2.865267
Loss : 2.787059
Loss : 2.955425
Loss : 2.823586
Loss : 2.925106
Loss : 2.897087
Loss : 2.958424
Loss : 2.983158
Loss : 2.914300
Time Elapsed for Training 00:47:40
word2vec.py:18: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  embedding = torch.tensor(embedding)
word2vec.py:45: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x_vector = torch.tensor(x_vector)
Questions = 17827, Correct Questions = 994, Hitting Rate = 5.5758
Time Elapsed for Validaiton 02:57:05
